ID,Immagine,Titolo,Descrizione,Anno di collocazione,Autrice/autore,Crediti fotografici,Crediti fotografici link,Tipologia personaggio,Latitude,Longitude,
1,https://github.com/dersuchendee/Mappa_immagini/blob/main/1.jpg?raw=true,Busto di Rosetta Romano,"Giornalista e critica d'arte (m. 1999), ricordata nella città natale.",2001,Nino Contino,,http://www.chieracostui.com/costui/docs/search/schedaoltre.asp?ID=1160,Personaggio realmente esistito,"37,3098364","13,5860818",
2,https://github.com/dersuchendee/Mappa_immagini/blob/main/2.jpg?raw=true,Busto di Anita Pittoni,"Stilista, pittrice e scrittrice, ha fondato una casa editrice (1901-1982). Ricordata nella città natale.",1998,Nino Spagnoli,Mi Riconosci,,Personaggio realmente esistito,"45,6546478","13,7849722",
3,https://github.com/dersuchendee/Mappa_immagini/blob/main/3.jpg?raw=true,Busto di Letizia Fonda Savio,"Poetessa, politica, attiva nella Croce Rossa e nell'ANFCDG, figlia di Italo Svevo (1897-1993).",1998,Nino Spagnoli,Mi Riconosci,,Personaggio realmente esistito,"45,65457","13,78510",
4,https://github.com/dersuchendee/Mappa_immagini/blob/main/4.jpg?raw=true,Busto di Madre Teresa Gimma,"Carmelitana scalza, fondatrice del Monastero di Santa Teresa Nuova (1880-1948). Il busto è collocato su un largo a lei intitolato, nei pressi della Camera di Commercio. ",2011,/,,http://www.chieracostui.com/costui/docs/search/schedaoltre.asp?ID=15044,Personaggio realmente esistito,"41,1208409","16,872566",
5,https://github.com/dersuchendee/Mappa_immagini/blob/main/5.jpg?raw=true,Busto di Grazia Deledda,"Scrittrice e premio Nobel (1871-1936). Il busto al momento dell’inaugurazione era corredato di nome e cognome a grandi lettere, oggi assenti. Più volte vandalizzato (2014, 2018), è sempre stato restaurato. È una delle 4 opere pubbliche che omaggiano Deledda nella città natale.",1982,Lucia Guiso Caggiari,,http://wikimapia.org/11707775/it/Giardini-di-Piazza-Italia,Personaggio realmente esistito,"40,3240663","9,3308073",
6,https://github.com/dersuchendee/Mappa_immagini/blob/main/6.jpg?raw=true,Busto di Giacinta Pezzana,"Attrice teatrale e cinematografica (1841-1919), il monumento la ricorda nella città dove risiedette nella maturità (tra tournèe, spostamenti temporanei e soggiorni all'estero) e dove fu sepolta. ",/,Walter Lo Cascio,"HaguardDuNord, CC BY-SA 4.0, via Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Aci_Castello,_Buste_de_Giacinta_Pezzana.jpg",Personaggio realmente esistito,"37,5541871","15,1482196",
7,https://github.com/dersuchendee/Mappa_immagini/blob/main/7.jpg?raw=true,Busto di Anita Garibaldi,"Ana Maria de Jesus Ribeiro da Silva (1821-1849) viene ricordata nel luogo in cui Garibaldi trascorse molti anni dopo la morte di lei. L’opera è eseguita dalla moglie di Ricciotti Garibaldi, figlio di Anita. L’autrice in quest’opera riproduce i lineamenti della propria figlia Giuseppina, che quindi era discendente di Anita.",1934,Costanza Garibaldi,,https://anvrg.org/events/bicentenario-della-nascita-di-anita-omaggio-a-la-maddalena/ ,Personaggio realmente esistito,"41,2150684","9,409588",
8,https://github.com/dersuchendee/Mappa_immagini/blob/main/8.jpg?raw=true,Monumento di Anita Garibaldi e Giuseppe Garibaldi,Ricorda a 150 anni di distanza il loro passaggio da Cesenatico a Comacchio.,1999,Giannantonio Bucci,,https://bit.ly/3Hp2SAq,Personaggio realmente esistito,"44,2015069","12,3976815",
9,https://github.com/dersuchendee/Mappa_immagini/blob/main/9.jpg?raw=true,Busto di Maria Melato,"Attrice teatrale, cinematografica e radiofonica (1885-1950), ricordata nella città natale.",1954,Michele Vedani,,http://www.chieracostui.com/costui/docs/search/schedaoltre.asp?ID=3245,Personaggio realmente esistito,"44,7023335","10,6307463",
10,https://github.com/dersuchendee/Mappa_immagini/blob/main/10.JPG?raw=true,Busto di Vittoria Colonna,"Poetessa (1492-1547), viene ricordata in uno dei busti sul colle del Pincio dedicati a personaggi illustri. È una delle 3 donne rappresentate sul colle su 229 busti totali (le altre sono Grazia Deledda e santa Caterina da Siena). ",1887,Carlo Nivelle,"Lalupa, CC BY-SA 3.0, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Pincio_-_Vittoria_Colonna_1210289.JPG,Personaggio realmente esistito,"41,9107064","12,4797104",
